,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,nationality,currentrank,prevyearrank,sport,year,earnings
124,124,124,124,Shaq O'Neal,USA,4,5,Basketball,2003,30.5
125,125,125,125,Oscar De La Hoya,USA,5,>10,Boxing,2003,30.0
126,126,126,126,Kevin Garnett,USA,6,7,Basketball,2003,28.0
127,127,127,127,Alex Rodriguez,USA,7,>10,Baseball,2003,26.0
128,128,128,128,Grant Hill,USA,8,5,Basketball,2003,25.5
129,129,129,129,Andre Agassi,USA,9,>10,Tennis,2003,24.0
130,130,130,130,Jacques Villeneuve,Canada,10,10,Auto Racing,2003,23.0
131,131,131,131,Tiger Woods,USA,1,1,golf,2004,80.3
132,132,132,132,Michael Schumacher,Germany,2,2,F1 racing,2004,80.0
133,133,133,133,Peyton Manning,USA,3,>10,American Football,2004,42.0
134,134,134,134,Michael Jordan,USA,4,3,basketball,2004,35.0
135,135,135,135,Shaquille O'Neal,USA,5,4,basketball,2004,31.9
136,136,136,136,Kevin Garnett,USA,6,6,basketball,2004,29.7
137,137,137,137,Andre Agassi,USA,7,9,tennis,2004,28.2
138,138,138,138,David Beckham,UK,8,>10,soccer,2004,28.0
139,139,139,139,Alex Rodriguez,USA,9,7,baseball,2004,26.2
140,140,140,140,Kobe Bryant,USA,10,>10,basketball,2004,26.1
141,141,141,141,Tiger Woods,USA,1,1,golf,2005,87.0
142,142,142,142,Michael Schumacher,Germany,2,2,F1 racing,2005,60.0
143,143,143,143,Oscar De La Hoya,USA,3,>10,boxing,2005,38.0
144,144,144,144,Michael Vick,USA,4,>10,American Football,2005,37.5
145,145,145,145,Shaquille O'Neal,USA,5,5,basketball,2005,33.4
146,146,146,146,Michael Jordan,USA,6,4,basketball,2005,33.0
147,147,147,147,David Beckham,UK,7,8,soccer,2005,32.5
148,148,148,148,Kobe Bryant,USA,8,10,basketball,2005,28.8
149,149,149,149,Lance Armstrong,USA,9,>10,cycling,2005,28.0
150,150,150,150,Valentino Rossi,Italy,9,>10,motorcycle gp,2005,28.0
151,151,151,151,Tiger Woods,USA,1,1,golf,2006,90.0
152,152,152,152,Michael Schumacher,Germany,2,2,F1 racing,2006,58.0
153,153,153,153,Muhammad Ali,USA,3,>10,boxing,2006,55.0
154,154,154,154,Phil Mickelson,USA,4,>10,golf,2006,47.0
155,155,155,155,Michael Jordan,USA,5,6,basketball,2006,32.0
156,156,156,156,Kobe Bryant,USA,6,8,basketball,2006,31.0
157,157,157,157,Shaquille O'Neal,USA,7,5,basketball,2006,30.0
158,158,158,158,Valentino Rossi,Italy,8,9,motorcycle gp,2006,30.0
159,159,159,159,Alex Rodriguez,USA,9,>10,baseball,2006,29.0
160,160,160,160,Tom Brady,USA,9,>10,American Football,2006,29.0
161,161,161,161,Tiger Woods,USA,1,1,golf,2007,100.0
162,162,162,162,Oscar De La Hoya,USA,2,>10,boxing,2007,43.0
163,163,163,163,Phil Mickelson,USA,3,4,golf,2007,42.0
164,164,164,164,Kimi Raikkonen,Finland,4,>10,F1 racing,2007,40.0
165,165,165,165,Michael Schumacher,Germany,5,2,F1 racing,2007,36.0
166,166,166,166,David Beckham,UK,6,>10,soccer,2007,33.0
167,167,167,167,Kobe Bryant,USA,6,>10,basketball,2007,33.0
168,168,168,168,Shaquille O'Neal,USA,8,7,basketball,2007,32.0
169,169,169,169,Ronaldinho,Brazil,9,>10,soccer,2007,31.0
170,170,170,170,Michael Jordan,USA,9,5,basketball,2007,31.0
171,171,171,171,Tiger Woods,USA,1,1,golf,2008,115.0
172,172,172,172,David Beckham,UK,2,6,soccer,2008,50.0
173,173,173,173,Michael Jordan,USA,3,9,basketball,2008,45.0
174,174,174,174,Phil Mickelson,USA,3,3,golf,2008,45.0
175,175,175,175,Kimi Raikkonen,Finland,5,4,F1 racing,2008,44.0
176,176,176,176,Kobe Bryant,USA,6,7,basketball,2008,39.0
177,177,177,177,LeBron James,USA,7,>10,basketball,2008,38.0
178,178,178,178,Ronaldinho,Brazil,8,9,soccer,2008,37.0
179,179,179,179,Valentino Rossi,Italy,9,>10,motorcycle gp,2008,35.0
180,180,180,180,Roger Federer,Switzerland,9,>10,tennis,2008,35.0
181,181,181,181,Tiger Woods,USA,1,1,golf,2009,110.0
182,182,182,182,Kobe Bryant,USA,2,6,basketball,2009,45.0
183,183,183,183,Michael Jordan,USA,2,3,basketball,2009,45.0
184,184,184,184,Kimi Raikkonen,Finland,2,5,F1 racing,2009,45.0
185,185,185,185,David Beckham,UK,5,2,soccer,2009,42.0
186,186,186,186,LeBron James,USA,6,7,basketball,2009,40.0
187,187,187,187,Phil Mickelson,USA,6,3,golf,2009,40.0
188,188,188,188,Manny Pacquiao,Philippines,6,>10,boxing,2009,40.0
189,189,189,189,Valentino Rossi,Italy,9,9,motorcycle gp,2009,35.0
190,190,190,190,Dale Earnhardt Jr.,USA,10,>10,NASCAR,2009,34.0
191,191,191,191,Tiger Woods,USA,1,1,golf,2010,105.0
192,192,192,192,Floyd Mayweather,USA,2,>10,boxing,2010,65.0
193,193,193,193,Kobe Bryant,USA,3,2,basketball,2010,48.0
194,194,194,194,Phil Mickelson,USA,4,6,golf,2010,46.0
195,195,195,195,David Beckham,UK,5,5,soccer,2010,43.7
196,196,196,196,Roger Federer,Switzerland,6,>10,tennis,2010,43.0
197,197,197,197,LeBron James,USA,7,6,basketball,2010,42.8
198,198,198,198,Manny Pacquiao,Philippines,8,6,boxing,2010,42.0
199,199,199,199,Eli Manning,USA,9,>10,American Football,2010,39.9
200,200,200,200,Terrell Suggs,USA,10,>10,American Football,2010,38.3
201,201,201,201,Tiger Woods,USA,1,1,golf,2011,75.0
202,202,202,202,Kobe Bryant,USA,2,3,basketball,2011,53.0
203,203,203,203,LeBron James,USA,3,7,basketball,2011,48.0
204,204,204,204,Roger Federer,Switzerland,4,6,tennis,2011,47.0
205,205,205,205,Phil Mickelson,USA,5,4,golf,2011,46.5
206,206,206,206,David Beckham,UK,6,5,soccer,2011,40.0
207,207,207,207,Cristiano Ronaldo,Portugal,7,13,soccer,2011,38.0
208,208,208,208,Alex Rodriguez,Dominican,8,12,baseball,2011,35.0
209,209,209,209,Michael Schumacher,Germany,9,>20,F1 racing,2011,34.0
210,210,210,210,Lionel Messi,Argentina,10,>20,soccer,2011,32.3
211,211,211,211,Floyd Mayweather,USA,1,?,Boxing,2012,85.0
212,212,212,212,Manny Pacquiao,Filipino,2,24,Boxing,2012,62.0
213,213,213,213,Tiger Woods,USA,3,1,Golf,2012,59.4
214,214,214,214,LeBron James,USA,4,3,Basketball,2012,53.0
215,215,215,215,Roger Federer,Switzerland,5,4,Tennis,2012,52.7
216,216,216,216,Kobe Bryant,USA,6,2,Basketball,2012,52.3
217,217,217,217,Phil Mickelson,USA,7,5,Golf,2012,47.8
218,218,218,218,David Beckham,UK,8,6,Soccer,2012,46.0
219,219,219,219,Cristiano Ronaldo,Portugal,9,21,Soccer,2012,42.5
220,220,220,220,Peyton Manning,USA,10,7,American Football,2012,42.4
221,221,221,221,Tiger Woods,USA,1,3,Golf,2013,78.1
222,222,222,222,Roger Federer,Switzerland,2,5,Tennis,2013,71.5
223,223,223,223,Kobe Bryant,USA,3,6,Basketball,2013,61.9
224,224,224,224,LeBron James,USA,4,4,Basketball,2013,59.8
225,225,225,225,Drew Brees,USA,5,?,American Football,2013,51.0
226,226,226,226,Aaron Rodgers,USA,6,?,American Football,2013,49.0
227,227,227,227,Phil Mickelson,USA,7,7,Golf,2013,48.7
228,228,228,228,David Beckham,UK,8,8,Soccer,2013,47.2
229,229,229,229,Cristiano Ronaldo,Portugal,9,9,Soccer,2013,44.0
230,230,230,230,Lionel Messi,Argentina,10,11,Soccer,2013,41.3
231,231,231,231,Floyd Mayweather,USA,1,14,Boxing,2014,105.0
232,232,232,232,Cristiano Ronaldo,Portugal,2,9,Soccer,2014,80.0
233,233,233,233,LeBron James,USA,3,4,Basketball,2014,72.3
234,234,234,234,Lionel Messi,Argentina,4,10,Soccer,2014,64.7
235,235,235,235,Kobe Bryant,USA,5,3,Basketball,2014,61.5
236,236,236,236,Tiger Woods,USA,6,1,Golf,2014,61.2
237,237,237,237,Roger Federer,Switzerland,7,2,Tennis,2014,56.2
238,238,238,238,Phil Mickelson,USA,8,7,Golf,2014,53.2
239,239,239,239,Rafael Nadal,Spain,9,>14,Tennis,2014,44.5
240,240,240,240,Matt Ryan,USA,10,>100,American Football,2014,43.8
241,241,241,241,Floyd Mayweather,USA,1,1,Boxing,2015,300.0
242,242,242,242,Manny Pacquiao,Philippines,2,11,Boxing,2015,160.0
243,243,243,243,Cristiano Ronaldo,Portugal,3,2,Soccer,2015,79.6
244,244,244,244,Lionel Messi,Argentina,4,4,Soccer,2015,73.8
245,245,245,245,Roger Federer,Switzerland,5,7,Tennis,2015,67.0
246,246,246,246,LeBron James,USA,6,3,Basketball,2015,64.8
247,247,247,247,Kevin Durant,USA,7,20,Basketball,2015,54.2
248,248,248,248,Phil Mickelson,USA,8,8,Golf,2015,50.8
249,249,249,249,Tiger Woods,USA,9,6,Golf,2015,50.6
250,250,250,250,Kobe Bryant,USA,10,5,Basketball,2015,49.5
251,251,251,251,Cristiano Ronaldo,Portugal,1,3,Soccer,2016,88.0
252,252,252,252,Lionel Messi,Argentina,2,4,Soccer,2016,81.4
253,253,253,253,LeBron James,USA,3,6,Basketball,2016,77.2
254,254,254,254,Roger Federer,Switzerland,4,5,Tennis,2016,67.8
255,255,255,255,Kevin Durant,USA,5,7,Basketball,2016,56.2
256,256,256,256,Novak Djokovic,Serbia,6,13,Tennis,2016,55.8
257,257,257,257,Cam Newton,USA,7,>20,American Football,2016,53.1
258,258,258,258,Phil Mickelson,USA,8,8,Golf,2016,52.9
259,259,259,259,Jordan Spieth,USA,9,>20,Golf,2016,52.8
260,260,260,260,Kobe Bryant,USA,10,10,Basketball,2016,50.0
261,261,261,261,Cristiano Ronaldo,Portugal,1,1,Soccer,2017,93.0
262,262,262,262,LeBron James,USA,2,3,Basketball,2017,86.2
263,263,263,263,Lionel Messi,Argentina,3,2,Soccer,2017,80.0
264,264,264,264,Roger Federer,Switzerland,4,4,Tennis,2017,64.0
265,265,265,265,Kevin Durant,USA,5,5,Basketball,2017,60.6
266,266,266,266,Andrew Luck,USA,6,,American Football,2017,50.0
267,267,267,267,Rory McIlroy,Northern Ireland,6,17,Golf,2017,50.0
268,268,268,268,Stephen Curry,USA,8,,Basketball,2017,47.3
269,269,269,269,James Harden,USA,9,,Basketball,2017,46.6
270,270,270,270,Lewis Hamilton,UK,10,,auto racing,2017,46.0
271,271,271,271,Floyd Mayweather,USA,1,>100,Boxing,2018,285.0
272,272,272,272,Lionel Messi,Argentina,2,3,Soccer,2018,111.0
273,273,273,273,Cristiano Ronaldo,Portugal,3,1,Soccer,2018,108.0
274,274,274,274,Conor McGregor,Ireland,4,24,MMA,2018,99.0
275,275,275,275,Neymar,Brazil,5,18,Soccer,2018,90.0
276,276,276,276,LeBron James,USA,6,2,Basketball,2018,85.5
277,277,277,277,Roger Federer,Switzerland,7,4,Tennis,2018,77.2
278,278,278,278,Stephen Curry,USA,8,8,Basketball,2018,76.9
279,279,279,279,Matt Ryan,USA,9,>100,American Football,2018,67.3
280,280,280,280,Matthew Stafford,USA,10,>100,American Football,2018,59.5
281,281,281,281,Lionel Messi,Argentina,1,2,Soccer,2019,127.0
282,282,282,282,Cristiano Ronaldo,Portugal,2,3,Soccer,2019,109.0
283,283,283,283,Neymar,Brazil,3,5,Soccer,2019,105.0
284,284,284,284,Canelo Alvarez,Mexico,4,15,Boxing,2019,94.0
285,285,285,285,Roger Federer,Switzerland,5,7,Tennis,2019,93.4
286,286,286,286,Russell Wilson,USA,6,??,American Football,2019,89.5
287,287,287,287,Aaron Rogers,USA,7,??,American Football,2019,89.3
288,288,288,288,LeBron James,USA,8,6,Basketball,2019,89.0
289,289,289,289,Stephen Curry,USA,9,8,Basketball,2019,79.8
290,290,290,290,Kevin Durant,USA,10,11,Basketball,2019,65.4
291,291,291,291,Roger Federer,Switzerland,1,5,Tennis,2020,106.3
292,292,292,292,Cristiano Ronaldo,Portugal,2,2,Soccer,2020,105.0
293,293,293,293,Lionel Messi,Argentina,3,1,Soccer,2020,104.0
294,294,294,294,Neymar,Brazil,4,3,Soccer,2020,95.5
295,295,295,295,LeBron James,USA,5,8,Basketball,2020,88.2
296,296,296,296,Stephen Curry,USA,6,9,Basketball,2020,74.4
297,297,297,297,Kevin Durant,USA,7,10,Basketball,2020,63.9
298,298,298,298,Tiger Woods,USA,8,11,Golf,2020,62.3
299,299,299,299,Kirk Cousins,USA,9,>100,American Football,2020,60.5
300,300,300,300,Carson Wentz,USA,10,>100,American Football,2020,59.1
